2017/05/11 15:54:32 INFO  - jmeter.util.JMeterUtils: Setting Locale to es_ES 
2017/05/11 15:54:33 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'es_ES', using 'es' 
2017/05/11 15:54:33 INFO  - jmeter.JMeter: Loading user properties from: C:\apache-jmeter-3.1\bin\user.properties 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: Loading system properties from: C:\apache-jmeter-3.1\bin\system.properties 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: java.version=1.8.0_131 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: os.name=Windows 7 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: os.arch=x86 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: os.version=6.1 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: Max memory     =523501568 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: Available Processors =4 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: Default Locale=español (España) 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: JMeter  Locale=español (España) 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: JMeterHome=C:\apache-jmeter-3.1 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: user.dir  =C:\apache-jmeter-3.1\bin 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: PWD       =C:\apache-jmeter-3.1\bin 
2017/05/11 15:54:34 INFO  - jmeter.JMeter: IP: 172.29.220.225 Name: LM22672P FullName: LM22672P.intranet.ibermatica 
2017/05/11 15:54:35 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/05/11 15:54:35 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/05/11 15:54:37 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/05/11 15:54:37 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/05/11 15:54:45 INFO  - org.jmeterplugins.repository.PluginManager: Plugins Status: [jpgc-graphs-basic=2.0, jpgc-graphs-additional=2.0, jpgc-graphs-composite=2.0, jpgc-graphs-dist=2.0, jmeter-ftp=3.1, jmeter-http=3.1, jmeter-jdbc=3.1, jmeter-jms=3.1, jmeter-core=3.1, jmeter-junit=3.1, jmeter-java=3.1, jmeter-ldap=3.1, jmeter-mail=3.1, jmeter-mongodb=3.1, jmeter-native=3.1, jpgc-plugins-manager=0.10, jpgc-synthesis=2.0, jmeter-tcp=3.1, jmeter-components=3.1] 
2017/05/11 15:54:46 WARN  - jmeter.gui.util.MenuFactory: Missing jar? Could not create kg.apc.jmeter.vizualizers.SynthesisReportGui. java.lang.NoClassDefFoundError: org/jmeterplugins/visualizers/gui/FilterPanel 
2017/05/11 15:54:46 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
2017/05/11 15:54:47 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.extractor.BSFPostProcessor 
2017/05/11 15:54:47 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.modifiers.BSFPreProcessor 
2017/05/11 15:54:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/05/11 15:54:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/05/11 15:54:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/05/11 15:54:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/05/11 15:54:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/05/11 15:54:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/05/11 15:54:48 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2017/05/11 15:54:48 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file C:\apache-jmeter-3.1\bin\proxyserver.jks 
2017/05/11 15:54:48 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.java.sampler.BSFSampler 
2017/05/11 15:54:48 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2017/05/11 15:54:48 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2017/05/11 15:54:50 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.timers.BSFTimer 
2017/05/11 15:54:50 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.BSFListener 
2017/05/11 15:54:51 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.MonitorHealthVisualizer 
2017/05/11 15:54:51 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/05/11 15:54:51 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/05/11 15:54:51 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/05/11 15:54:51 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
